Q466838	Queen of Tahiti (1813-1877)
Q879812	King of Tahiti (1839-1891)
Q887744	King of Tahiti
Q188965	chief mistress of Louis XV of France (1721-1764)
Q3064910	Brazilian writer (1863–1895)
Q295228	Roman politician and general (c. 67–35 BC)
Q2185	President of France from 1969 to 1974
Q297515	Roman geographer of the first century
Q551749	French writer (1899–1988)
Q54019	King of Poland and Grand Duke of Lithuania (1764-1795)
Q260264	American operatic soprano (1897–1981)
Q53031	Italian film director (1919–2006)
Q314960	Ottawa Indian leader (1720-1769)
Q472649	Australian cricketer
Q225554	Danish writer, Nobel Laureate
Q207929	Florentine Mannerist painter
Q360145	Italian businessman and con artist (1882–1949)
Q383197	Thai female singer
Q1479984	Tewa religious leader
Q191799	Russian physicist
Q173834	Soviet and Russian clown and circus artist (1930—2016)
Q456730	American basketball coach
Q3082774	French art historian
Q58077	5th President of Ukraine
Q203445	3rd-century Greek Neoplatonist philosopher
Q57249	Austrian-born German automotive engineer, inventor (1875–1951)
Q852657	English classical scholar (1759–1808)
Q175566	Italian architect and sculptor (1532-1602)
Q215120	American composer and songwriter (1891–1964)
Q347864	American film pioneer (1870–1941)
Q272146	American engineer and economist
Q1528113	Australian, British based poet (1929-2010)
Q191352	English band
Q157208	British politician and prime minister (1738–1809)
Q37876	Israeli-American actress (born 1981)
Q28935	ancient Indian king
Q185770	Greek Stoic philosopher (c.135 – c.51 BC)
Q533583	United States federal judge
Q1363174	Brazilian explorer
Q436131	American writer and academic (1931-2003)
Q243201	Russian military leader and politician (1739–1791)
Q214565	British children's writer and illustrator (1866–1943)
Q191408	French composer and pianist (1899–1963)
Q2073655	Canadian ice hockey player
Q1398503	Canadian swimmer, Olympic athlete, British Empire Games gold medallist, International Olympic Committee vice president, university chancellor, lawyer
Q573813	English novelist (1905-2000)
Q312692	American jazz pianist and composer (1924–1966)
Q178103	British physicist
Q150851	American general and diplomat (1937–2021)
Q256117	Dancer, actress
Q333028	British politician (1912–1998)
Q55234	English film director (1905-1990)
Q271952	Athletics competitor, long jumper
Q105960	American actor (1892–1984)
Q309989	American actor (1914-1958)
Q12066347	American writer and music critic
Q578878	Paramount chief of Tsenacommacah (1549-1618)
Q242219	Italian television presenter and pornographic actress
Q318041	Italian football player and manager (1886-1968)
Q204016	founder of the Liberation Tigers of Tamil Eelam, a militant organization in Sri Lanka (1954-2009)
Q15632651	Indian philosopher
Q315500	Nepalese politician and former prime minister
Q242342	Italian fashion designer and entrepreneur
Q1070533	Australian mathematician
Q1348937	Buddhist master
Q313124	King of Siam
Q1270169	Bosnian Croat general and war criminal (1945–2017)
Q3111264	Indian actor (1920–2013)
Q76683	German physicist (1875-1953)
Q197736	First President of the Republic of India
Q46248	English fantasy author (1948–2015)
Q1362371	ancient Greek writer
Q3373540	American businessman and philanthropist (1830-1891)
Q503706	American actor (born 1979)
Q12113	Italian comic book creator (1927-1995)
Q105290	Attic sculptor
Q52997	American director, producer and actor (1905–1986)
Q312585	American economist (1940-2022)
Q505844	American historian and Hispanist (1796–1859)
Q1031	Slovene national poet, a Carniolan Romantic poet of Slovene descent (1800–1849)
Q55230	Hungarian-British screenwriter, director and producer (1902–1988)
Q742047	Brazilian politician (1898-1990)
Q311450	American R&B musician (1946–2006)
Q165274	French poet and screenwriter (1900-1977)
Q155712	German-American conductor, pianist, and composer (1929–2019)
Q311480	French novelist (1697–1763)
Q446120	Canadian actress (1898–1937)
Q542559	Prime Minister of Belize (1919-2011)
Q233718	African-American soprano
Q219640	American actor (1911–1993)
Q1066772	American country musician (1934–2020)
Q443528	English writer (1894–1984)
Q3544169	Mexican writer and politician (1818–1897)
Q183509	Russian-Belgian physical chemist (1917–2003)
Q537003	Russian artist and writer (1940–2007)
Q192894	Spanish politician; dictator, aristocrat, and military officer who served as Prime Minister of Spain from 1923 to 1930
Q541922	Scottish violist (1904-1982)
Q749887	American businessman, former US Navy SEAL officer and the founder of the private military company Blackwater
Q605924	American theatre producer and director (1928–2019)
Q661520	American painter and photographer (born 1949)
Q648580	sons of King Edward IV of England
Q80492	Bosnian assassin (1894–1918)
Q520296	American singer-songwriter (1946-2020)
Q109868	German association football player
Q655779	president of Cuba (1903-1977)
Q1256302	British diplomat, poet (1664-1721)
Q271809	5th-century Greek Neoplatonist philosopher
Q186153	6th-century historian
Q4681673	English poet and philanthropist (1825–1864)
Q1690717	British zoologist and herpetologist (1897-1931)
Q556384	British co-founder of Procter & Gamble
Q7256860	English electronic dance music group
Q220645	Macedonian musician (1981–2007)
Q1323220	Norwegian singer-songwriter and author (1914-1970)
Q83552	Soviet and Russian physicist (1916-2002)
Q233581	Russian entrepreneur and politician (born 1965)
Q366500	Hussite priest and military leader
Q313455	Russian folklorist, philologist and linguist
Q10494	French racing driver
Q169243	Pre-Socratic Greek philosopher (c.490–c.420 BC)
Q42247	French poet, Nobel prize for literature winner 1901 (1839–1907)
Q144439	Polish novelist (1847–1912)
Q312702	Welsh actor (born 1947)
Q192442	Russian soldier, explorer, & geographer (1839-1888)
Q373521	3rd Egyptian pharaoh of the 26th dynasty
Q294109	11th-century Byzantine monk, writer and court official
Q3409585	anonymous author(s) of works falsely attributed to Democritus
Q20150	South Korean singer (born 1977)
Q39576	king of the Ptolemaic dynasty in Egypt (308–246 B.C.)
Q39602	Egyptian pharaoh
Q39991	1st-century BC Egyptian pharaoh
Q209182	American hip-hop group
Q78893	Austrian-American chef and restaurateur
Q61797	German nobleman, landscape artist and travel writer (1785-1871)
Q55195	Soviet film director, screenwriter and actor (1893–1953)
Q317122	American musician (1923-2000)
Q80510	Soviet-Russian singer, composer, and actress
Q715979	British-South African environmental campaigner, maritime lawyer and endurance swimmer
Q4740163	Catalan politician
Q708370	Indian king from Chalukya dynasty of Vatapi
Q381854	Polish nobleman, general in the American Revolutionary War
Q1222678	Niuean artist and writer (born 1962)
Q362760	engineer and businessman from the United States (1831-1897)
Q190220	English author
Q159542	Czech biologist, physiologist, doctor, inventor and politician (1787–1869)
Q765838	FBI Agent (1903–1960)
Q482931	Hungarian association football player (1927–2006)
Q6147504	Indonesian singer and songwriter
Q7551	Russian punk-rock collective based in Moscow
Q221697	American philosopher
Q351815	American political scientist
Q313133	Serbian field marshal (1847-1917)
Q182870	American author, screenwriter, and journalist
Q38415	American war correspondent and writer (1900–1945)
Q35155	American novelist (born 1937)
Q192313	Greek philosopher and founder of Pyrrhonism (c.360-c.270 BC)
Q552450	Soviet film director and screenwriter (1901-1968)
Q189971	ancient Greek explorer
Q175299	second Qajar shah of Iran (1797–1834).
Q324974	founder of the Qajar Dynasty (1796–1797)
Q159416	Shah of Qajar Iran from 1848 to 1896
Q299732	Iraqi Army brigadier, nationalist and first prime minister of Iraq after the fall of the monarchy
Q369608	Chinese painter (1864-1957)
Q559750	Chinese literary scholar and writer (1910–1998)
Q1329301	Chinese politician (1907-1946)
Q565225	mathematician of Southern Song dynasty, wrote Shu shu jiu zhang (1247)
Q465324	Chinese revolutionary, feminist, and writer (1875-1907)
Q769372	Chinese painter (1494–1552)
Q68469426	Chinese Ming Dynasty painter (fl. 1565–1585)
Q1051776	Arab king and poet (501–544)
Q234147	British fashion designer (1930-2023)
Q4888218	American historian (1904–1996)
Q83038	Italian writer (1901-1968)
Q1112005	American rapper, singer and actress
Q283964	Brazilian writer and journalist (1910-2003)
Q124013	Swiss astronomer
Q218690	French novelist and poet (1903–1976)
Q1387131	Canadian-American ice hockey coach
Q314797	Italian artist (1374-1438)
Q13575	French economist
Q1503	President of the Philippines from 1935 to 1944
Q1465045	American writer (1802–1866)
Q214969	American philosopher and logician (1900–2000)
Q83484	Mexican and American actor (1915–2001)
Q319943	President of the Philippines from 1948 to 1953 (1890–1956)
Q151364	Norwegian politician and Nazi collaborator (1887–1945)
Q304890	Kazakh poet, philosopher and composer (1845-1904)
Q1151805	Andalusian jurist and Islamic scholar (1214–1273)
Q4115259	theologian
Q59981	1st President of Syrian Republic (1891–1967)
Q699904	King of Vietnam
Q16067202	Indian film director
Q134969	American alternative rock band
Q354508	American jazz composer and bandleader (1914–1993)
Q6969	German entertainer
Q671601	Malagasy poet who is widely considered to be Africa's first modern poet and the greatest literary artist of Madagascar. (1901–1937)
Q1374750	Malagasy politician (1913-2005)
Q165969	American physicist (1898–1988)
Q14474324	Nepalese journalist
Q256506	Iraqi sufi and poet
Q932368	Sudanese warlord and slave trader (1842–1900)
Q34060	Israeli politician, statesman and general (1922–1995)
Q981549	Prime Minister of Fiji from 1992 to 1999 and from 2022-
Q312905	English pirate (1682-1720)
Q590483	Hungarian actress, singer (1911–1997)
Q135576	British anthropologist (1881–1955)
Q231944	English author and pioneer of the Gothic novel (1764–1823)
Q38119	British actor and film producer (born 1989)
Q233672	English long-distance runner
Q153500	Czech nobleman and Austrian general (1766-1858)
Q156349	2nd President and 1st Vice President of India, Indian philosopher and politician (1888–1975)
Q44190	English rock band
Q217470	18th century Russian author and social critic
Q551257	British swimmer and water polo player (1886–1968)
Q266808	American actress and comedian (1946–1989)
Q57154	German admiral (1876–1960)
Q1190688	founder of Raëlism sect
Q1074634	Australian actor (1909–1971)
Q130327	British statesman who founded Singapore (1781-1826)
Q156815	Indian playback singer (1924–1980)
Q436187	American actor (1895–1980)
Q72092	American rap metal band
Q7538599	Indonesian actor, director and screenwriter
Q108560	Indian composer and musician
Q198313	Chief of Army Staff and President of Bangladesh (1936-1981)
Q57366	President of Tajikistan (1992-present)
Q47059	Indian actress (1973–)
Q523103	Indian actress (1931–2009)
Q3269715	Malaysian music group
Q318485	South Korean singer and actor
Q18994	German-born actress (1910–2014)
Q239533	American blues singer (1886–1939)
Q185025	Prince of Monaco from 1949 to 2005
Q528996	Prime Minister of Madagascar (1828-1896)
Q318734	British actor (1889–1967)
Q190745	American physicist
Q311634	leader in the French army, companion-in-arms of Joan of Arc, convicted serial killer of children
Q5947347	President of Iran from 2021 to 2024
Q238663	American artistic gymnast
Q234693	American musician (born 1949)
Q3520476	Indian women's cricketer
Q310592	Iranian Prime Minister and President of Iran (1933-1981)
Q981496	Indian economist and former governor of Reserve Bank of India
Q5360720	writer (1951-2010)
Q211483	Chola emperor from 1014 to 1044
Q984634	Indian Kannada film actor, singer (1929–2006)
Q148285	Indian guru and leader of the Rajneesh movement (1931–1990)
Q57363	President of Madagascar (2009–2014; 2019–2023; 2023–2025)
Q10819	Spanish politician (born 1955)
Q1279558	Ruler of the Gurjara-Pratihara dynasty
Q1392049	Indian tabla player (1919–2000)
Q207631	former First Secretary of the Hungarian Working People's Party (1892-1971)
Q189144	English statesman, soldier and writer (1552–1618)
Q319675	King of Siam
Q319669	Third king of Siam of the Chakri Dynasty
Q910690	Indian scientist (1922-2001)
Q127868	film actor, chief minister of Tamil Nadu (1917 – 1987)
Q122988	Swiss Muslim scholar
Q5203796	multilingual Indian film producer
Q18355453	Malagasy author, playwright, and poet (1891–1940)
Q1148669	President of South Africa since 2018
Q737280	Indian social reformer (1879-1973)
Q442783	Italian malariologist (1633-1714)
Q153708	Italian musician (born 1963)
Q240736	dancer and teacher, founder of Ballet Rambert (1888–1982)
Q1145	French composer and music theorist (1683–1764)
Q3034926	French politician
Q5167	fifth ruler of the Twentieth dynasty of Egypt
Q2166580	politician, statesman and philanthropist and the first prime minister of Mauritius (1900-1985)
Q382035	American serial killer (1960–2013)
Q225113	King of León from 931 to 951
Q3058202	Malaysian singer, actor and film director (1929–1973)
Q25177	German Neue-Deutsche-Härte; industrial metal band
Q319439	Prince of Aragon, Count of Barcelona and consort of the Queen of Aragon
Q483407	American punk rock band
Q11665	2nd and 5th President of East Timor, Nobel Prize laureate
Q215351	President of the Philippines from 1992 to 1998
Q1392121	Brazilian writer and mayor (1892-1953)
Q186359	French flutist
Q234679	British actress (born 1946)
Q654775	Scottish poet (1686-1758)
Q15280	British chef, restaurateur, and television personality (born 1966)
Q950726	Scottish chemist (1852–1916)
Q311029	English association football player and manager (1920-1999)
Q315387	British mathematician, philosopher, and economist (1903–1930)
Q107419	American physicist (1915–2011)
Q132524	Russian-born American writer and public philosopher (1905–1982)
Q1988024	American burlesque performer and actress (1904–1979)
Q294918	Canadian-American stage magician and skeptical movement adherent
Q1226368	sideshow performer (1871–1934)
Q720153	Black American civil rights activist, labor unionist, politician (1889-1979)
Q470466	Soviet actress (1896-1984)
Q457933	Indian mathematician and librarian (1892–1972)
Q465060	Indian actress (1908-1994)
Q6384925	American cult founder and convicted felon (born 1960)
Q2757835	Indian cricket player. (1872-1933)
Q84172	Austrian psychoanalyst (1884–1939)
Q232407	American congresswoman for Montana (1880-1973)
Q232149	civil engineer (1820–1872)
Q226122	Nigerian educator, political campaigner, suffragist, and women's rights activist
Q6434855	Indian film director
Q275146	Prime Minister of India (1991-1996)
Q1975074	Indian-born English writer (1908–2006)
Q379506	French chemist (1830–1901)
Q561205	Spanish recording artist; singer and actor
Q260725	American soccer player
Q487453	Russian-born American mathematical psychologist (1911–2007)
Q72513	German engineer (1882-1962)
Q124746531	leader of the Syrian wing of the Hashshashin sect and figure in the history of the Crusades
Q180465	the four caliphs who, from the point of view of the Sunnis, held the caliphate after Muhammad
Q310958	Danish linguist
Q529309	Soviet and Russian writer (1937-2015)
Q320690	Italian juggler and performer (1896-1931)
Q299687	Italian architect (1700-1771)
Q135645	German businessman, writer, art collector and politician (1867-1922)
Q733027	American broadcast journalist (born 1931)
Q174648	Indian film director
Q467973	Indian actress and director
Q157814	British conductor (born 1955)
Q76762	German geographer and ethnographer (1844–1904)
Q84642	niece of Adolf Hitler (1908–1931)
Q164358	American painter and graphic artist (1925–2008)
Q319784	Finnish athletics competitor, recording artist; singer and film actor
Q558456	French anarchist (1859-1892)
Q349190	French regicide
Q4792169	American art historian
Q4915447	India's 1st Chief of Defence Staff, former COAS
Q51002	fourth President of the Republic of Ghana (1947-2020)
Q7817338	British poet (1938–2017)
Q310062	American criminal, convicted for the murder of civil rights activist and Nobel peace prize laureate Martin Luther King Jr. in 1968
Q316949	British botanist (1627–1705)
Q1198056	American singer and pianist (1927–1990)
Q240677	American film director (1911-1979)
Q1378052	Speaker of the United States House of Representatives (1955-1961), American politician (1882–1961)
Q288055	American teenager who died in 1969, thought to be the first death from AIDS in North America
Q83297	English physicist (1842–1919)
Q164985	American journalist and politician (1820–1869)
Q2005020	English publisher (1925-2008)
Q23412	American businessman, founder of Victoria's Secret (1947-1993)
Q3038345	Malagasy writer (1913-1978)
Q23019500	Malagasy poet (1892-1931)
Q333703	12th-century Sunni Muslim theologian and philosopher
Q193175	Cossack leader (c. 1630 - 1671)
Q245198	Serbian military commandant and criminal
Q2428420	Australian criminal, author and rapper (1954-2013)
Q310779	French scientist
Q312721	chief of Oglala Lakota
Q10708	American rock band
Q17466114	South Korean girl group
Q217839	American singer and songwriter (1941–1967)
Q13012198	Indian film director
Q336913	Sixth President of India (1913-1996)
Q59215	American actor and director (1936–2025)
Q318263	English actor (1908-1985)
Q52679	British rower
Q347879	British actress and activist (born 1937)
Q311187	Italian entomologist and poet
Q28288	English actor
Q154349	French painter (1840–1916)
Q95143	English film director (1906–1976)
Q224021	American film and television actress
Q604393	American football player, defensive back, safety
Q310800	American journalist, poet, and communist activist
Q189080	American rock musician (1942–2013)
Q2352005	American film critic
Q222832	American pornographic actor (1947–2013)
Q194896	editor of The Times (1928-2012)
Q541619	American mathematician (1902–1997)
Q174311	American actor (1952–2004)
Q43416	Canadian actor and musician (born 1964)
Q358193	American bodybuilder and actor (1926–2000)
Q2237841	Turkish film director (1934–2009)
Q359397	Danish film director, screenwriter, and producer (born 1970)
Q887447	President of El Salvador (1861-1906)
Q732695	French writer (1655-1709)
Q465859	Indian actress
Q311562	chief justice of the United States from 1986 to 2005 (1924–2005)
Q262791	American composer (born 1936)
Q84412	Austrian-American psychiatrist, psychoanalyst, sex educator and sociologist (1897–1957)
Q112070	Austro-Hungarian-born French parachuting pioneer
Q57144	German field marshal (1884–1942)
Q298221	American writer and forensic anthropologist
Q16499823	American political pundit (1968-)
Q316347	Scottish philosopher (1710–1796)
Q171958	Russian-born adventurer and secret agent (1873–1925)
Q529549	East Timorese military commander (1968-2008)
Q287793	American actor
Q287607	American filmmaker and actor (1947–2025)
Q191922	American physicist (1918–1998)
Q78639	theatre director and actor (1873-1943)
Q444011	German silhouette animator and film director (1899–1981)
Q732272	Turkish privateer and admiral of the Ottoman Empire
Q217915	Turkish admiral and cartographer
Q183253	American diplomat (1910-1990)
Q57157	German aviator (1912–1979)
Q465826	Indian actress
Q47293	German-born novelist (1898–1970)
Q336285	former President of Palau
Q560787	American painter and sculptor (1861-1909)
Q1340503	Russian writer (1877-1957)
Q712802	Chinese businessman
Q157155	French philosopher and writer (1823–1892)
Q235354	English novelist (1905–1983)
Q224986	President of Seychelles (1935-2019)
Q335189	British archaeologist (1937–2024)
Q109061	Bolognese painter (1575–1642)
Q11726	first President of Austria (1870–1950)
Q369398	British writer (1951–2016)
Q365139	English tennis player (1861–1904)
Q3617815	Italian soprano (17th century)
Q218022	French film director (1922-2014)
Q49284	American engineer and astronaut (1949–1986)
Q243837	Italian composer, musicologist and conductor
Q6761526	Filipino journalist
Q1460571	French art historian and critic (1930–2003)
Q732729	French writer (1734–1806)
Q235975	American gymnast (born 1968)
Q720581	American actor and comedian (1952–2023)
Q61067	German humanist and scholar of Greek and Hebrew (1455-1522)
Q71014	German-Jewish-born British entrepreneur and news agency founder (1816–1899)
Q3055932	labor union leader and progressive activist (1907–1970)
Q277996	Indian film director
Q364153	Dutch writer (1923-2006)
Q327071	American silversmith and Patriot in the American Revolution (1735–1818)
Q1065894	American-Canadian businessman (Revlon)
Q380938	South African general (1847-1914)
Q982090	Filipino pool player
Q121180	Polish novelist (1867-1925)
Q202148	American actor (1936–2018)
Q263696	American actress, singer, and dancer (1932–2016)
Q194402	English painter (1723–1792)
Q323267	Anglo-Irish innovator (1842-1912)
Q192682	Canadian-American actor and entrepreneur (born 1976)
Q202676	English music critic
Q545979	Iranian politician and senior military officer
Q374353	Iranian weightlifter
Q716465	Brazilian volleyball coach and former player
Q242329	American television producer, television and film writer, and author
Q233759	sport shooter
Q230598	British novelist (1890–1979)
Q485218	Korean writer (1896–1984)
Q935052	French navigator and colonizer
Q101886	German Foreign Minister of Nazi Germany (1893–1946)
Q1140743	Brazilian author (1941-2014)
Q297838	Spanish painter (1591–1652)
Q3174310	French writer (1932-2016)
Q548184	Italian mathematician (1853–1925)
Q233340	Italian Catholic missionary (1552–1610)
Q184785	American writer
Q4389170	American entertainer (1823-1900)
Q1333006	American playwright (1892–1967)
Q458458	American sportswriter (1880-1954)
Q505423	American football player (born 1962)
Q3710503	American amateur mathematician (*1923 – †2017)
Q2423312	American performer, playwright and comedian (1808-1860)
Q298295	British lyricist and author
Q318339	American jazz drummer and bandleader (1917–1987)
Q706542	American commodities trader (1934–2013)
Q81000	King of England from 1377 to 1399
Q133028	king of England from 1483 to 1485
Q82238	British singer (born 1940)
Q325138	Canadian ice hockey player (1921–2000)
Q315243	French actor, film director, screenwriter and comedian
Q548029	English anthropologist (1899–1984)
Q7273	American chemist (1842-1911)
Q189599	British musician, guitarist of the Rolling Stones
Q455868	US tennis player and ophthalmologist
Q738016	West Indian cricketer
Q723234	American architect (1838–1886)
Q169330	British physicist (1879-1959)
Q381285	British actor (1902–1983)
Q192708	American physicist
Q295941	English writer and printer (1689–1761)
Q52411	English theatre and film director and producer (1928-1991)
Q26695	American singer, songwriter and actor
Q192106	American physicist
Q184014	Seismologist and mathematician
Q28456654	English aerialist and actor who became the first human cannonball
Q4701	German fighter pilot (1892-1918)
Q550707	United States Army Medal of Honor recipient (1890–1973)
Q126019	American baseball player, manager, and executive (1881–1965)
Q269890	American stand-up comedian (1926–2017)
Q106481	British actor and director (1946–2016)
Q192066	French philosopher (1913–2005)
Q49285	American astronaut and physicist (1951–2012)
Q357498	American serial killer
Q494930	United States Army general (1895–1993)
Q294769	Dutch colonial governor (1619–1677)
Q213539	German musicologist (1849-1919)
Q106454	American astrophysicist
Q160435	Dutch furniture designer and architect (1888-1964)
Q159832	Dutch violinist and conductor
Q289738	Haitian military leader (1761–1811)
Q727001	American Mormon leader (1793–1876)
Q36844	Barbadian singer (born 1988)
Q312308	Sicilian mafia boss (1930–2017)
Q379211	American photographer, journalist and activist (1849–1914)
Q484173	Zainichi Korean professional wrestler (1924-1963)
Q234449	British painter (born 1931)
Q770177	American poet from Indianapolis (1849–1916)
Q335762	American basketball player, coach and executive
Q365243	American composer and musician (born 1935)
Q199642	founder of association football institutions (1873–1956)
Q242982	Australian businessperson
Q5431220	African American painter and sculptor (1930–2024)
Q7334928	circus sibling group
Q66192	German cartographer
Q443900	Italian poet (1562-1621)
Q212727	American author (born 1964)
Q467077	former de facto President of Guatemala, army general, genocida and former president of Congress (1926-2018)
Q820	Chilean politician and President (1888-1946)
Q1148035	American actress and talk show host
Q731168	American retired baseball player (born 1960)
Q732327	American cartoonist (1890–1949)
Q715461	Mexican film director
Q53034	Italian film director (1916-2008)
Q1797489	Australian actress
Q7613755	American pinball designer
Q29297	German geographer (1779-1859)
Q58868	German chemist, physicist and philosopher
Q229266	American actress and vaudevillian (1902-1969)
Q114347	Swiss hotelier (1850-1918)
Q2392284	President of Peru
Q436996	French actress (1927-2017)
Q188891	First President of Argentina (born 1780-1845)
Q203952	French writer (1753-1801)
Q450918	American actress, dancer and singer (1933–2024)
Q467976	president of Uruguay (1784-1854)
Q1368995	American attorney, journalist and talk show host
Q382303	Panamanian Hall of Fame baseball player, relief pitcher
Q240933	American comedian, actress, and television host (1933–2014)
Q7158156	American poet, journalist (1843-1896)
Q588320	English anthropologist, neurologist, ethnologist and psychiatrist (1864-1922)
Q167475	French film director, screenwriter and film critic (1928–2016)
Q175899	American jazz percussionist, drummer, and composer (1924–2007)
Q8017608	English actor
Q296630	American actor (1922–2000)
Q216266	French author and film director (1922–2008)
Q195655	Italian Renaissance sculptor, especially in ceramics (1435–1525)
Q194977	Italian sculptor (1399–1482)
Q1924847	Australian actress (born 1990)
Q531563	American novelist (1916–1997)
Q353019	American choreographer and director (1918–1998)
Q95048	American actor
Q178918	king of the Franks from 996 to 1031
Q379773	French magician (1805-1871)
Q462997	English noble
Q312489	French climber and author
Q313430	Welsh pirate (1682-1722)
Q4395105	American journalist (1943–2019)
Q360164	President of Liberia (1809–1876)
Q40523	American actress (born 1967)
Q231356	American romance writer
Q171454	Christian religious leader, healing evangelist, author, educator, television personality
Q17717	American basketball player
Q364990	American media mogul and minister (1930–2023)
Q273233	American singer, actor, and political activist (1898–1976)
Q554278	French lawyer and revolutionary (1763-1794)
Q14946907	English music hall singer, film & theatre actor (1869-1954)
Q3705468	British novelist (1897-1985)
Q709647	American geographer (1915-2004)
Q235151	athletics competitor (1911-1999)
Q862416	American dancer and actor (1877/1878–1949)
Q1165591	American stunt performer and actor (1947-1986)
Q211876	American basketball player
Q83812	Romanian-American actor (1893-1973)
Q1680536	American historian (1863–1936)
Q234793	English economist (1903–1983)
Q452116	American mathematician (1919–1985)
Q310332	American R&B singer, songwriter and producer (born 1940)
Q2346186	American singer, record producer, and executive (1936–2011)
Q1367752	French chef (1945-2018)
Q356659	Argentine politician and general, former president of Argentina (1843–1914)
Q879030	President of Ecuador (1834 - 1839)
Q55426	Brazilian film director, actor and writer (1939–1981)
Q508363	French noble (1725–1807)
Q332610	Irish-born American architect (1922-2019)
Q273708	French author of maxims and memoirs (1613-1680)
Q2743754	Congolese singer and songwriter
Q4109	American comedian, actor, screenwriter, producer, and director
Q1130469	American industrial, political and banking family
Q306870	American socialite and philanthropist (1874–1948)
Q363984	American financier and philanthropist (1874–1960)
Q11237	Vice President of the United States from 1974 to 1977
Q1770885	American football player and coach (1888–1931)
Q316446	American actor
Q193018	Italian writer and journalist (1920–1980)
Q312631	Russian artist, sculptor, photographer, and graphic designer (1891—1955)
Q191716	American television screenwriter and producer (1921–1991)
Q237211	British business woman, founder of The Body Shop (1942-2007)
Q366358	American country singer (1897–1933)
Q269094	American composer of songs and Broadway musicals (1902–1979)
Q201608	American basketball player
Q233812	Russian politician and figure skater
Q734054	Uruguayan writer (1871–1917)
Q314698	Brazilian politician (1848-1919)
Q214813	Portuguese recording artist, fado singer, actress (1920-1999)
Q34063	Paraguayan lawyer, politician and dictator (1766-1840)
Q41395	Spanish politician
Q558664	American baseball player and broadcaster
Q440837	43.° President of Paraguay from February 3, 1989 to August 15, 1993
Q4737639	American businessman
Q51541	English film director and cinematographer (1928–2018)
Q201882	American writer and film critic
Q208993	Russian painter, writer, archaeologist and philosopher (1874–1947)
Q1151763	American poet (1907-1963)
Q2718421	American broadcaster, comedian, and actor (born 1967)
Q220308	Canadian actor, comedian, and filmmaker (born 1982)
Q283466	Italian admiral
Q3118797	American businessman (1840–1909)
Q217160	American country singer (1938–2020)
Q237412	British architect (1933–2021)
Q367129	American actor and singer (1911-1998)
Q457840	American humorist and entertainer (1879–1935)
Q7358847	Australian disgraced detective sergeant and convicted murderer (1941–2024)
Q182609	President of the International Olympic Committee from 2001 to 2013
Q243375	Dutch Pacific Ocean explorer
Q14345	16th President of the Republic of Korea (1946–2009)
Q58583	German Nazi politician, military officer and leader of the Sturmabteilung (1887-1934)
Q50764	French film director (1920-2010)
Q123029	Swiss physicist (1933-2013)
Q2383289	Thai senator and forensic pathologist (born 1954)
Q455692	26th President of Colombia (1900-1975)
Q290301	Mexican actress and politician
Q48502	Hungarian-born actress, singer, dancer (1913–2004)
Q40482	Soviet and Polish military commander (1896-1968)
Q207535	Frankish knight
Q236554	French revolutionary
Q709244	President of Ecuador (1979–1981)
Q47162	French author (1866-1944)
Q5703082	British television presenter (1956-1999)
Q299208	American jazz saxophonist and composer (born 1930)
Q273773	10th-century Viking and Count of Rouen
Q313074	motoring and aviation pioneer, co-founder of Rolls-Royce
Q3335602	American astronomer and principal in the Hubble Space Telescope project (1925-2018)
Q221059	Greek hymnographer
Q178649	Former Brazilian footballer, politician and Senator of Brazil since 2015
Q509262	American economist (born 1955)
Q5571456	Filipino actress (1933–2025)
Q2470168	Filipino film director (1924–2013)
Q51511	Canadian-American filmmaker (1940–2017)
Q280045	American video game designer
Q293455	fourth archbishop of San Salvador (1917–1980)
Q965825	Spanish bullfighter
Q4496	American politician and businessman (born 1947)
Q2186	legendary founder and first king of Rome
Q1331304	Hungarian chemist (1890–1981)
Q39444	Brazilian associaton fooball player (born 1980)
Q49752	French poet (1524-1585)
Q229375	American singer (born 1946)
Q77281	Prussian general (1803-1879)
Q104081	American actor (1920–2014)
Q54861296	Irish author
Q266613	English footballer and manager
Q375065	American astronaut (1933–1994)
Q220619	American politician (1845-1937)
Q2780910	American inventor (1823-1896)
Q215258	American philosopher (1931–2007)
Q24184	American comic book writer and illustrator (born 1951)
Q13012	Brazilian novelist (1908-1967)
Q5043570	Filipino actress (1917-1991)
Q311436	Argentine politician (1793-1877)
Q715515	American TV interviewer and journalist (born 1942)
Q271769	New Zealand-American actress
Q739866	American baseball player (1941–2024)
Q244620	British Liberal politician and Prime Minister of the United Kingdom (1847–1929)
Q1655816	American mobster (1905–1976)
Q1673451	British poet and artist (1890-1918)
Q75849	Baltic German architect, Nazi politician and ideologue (1893-1946)
Q769097	American couple executed for spying for the Soviet Union
Q966176	French art historian, collector, and former director of the Louvre
Q1708769	Ukrainian-born hazzan (cantor) (1882–1933)
Q46874	Canadian athletics competitor (1904–1969)
Q1965037	Jewish Hungarian Mexican chemist and executive, bridge player and writer
Q312728	Australian tennis player
Q233619	Indian actor (born 1974)
Q2658917	Indian poet
Q1373377	Indian film director and producer
Q952149	American music critic (born 1968)
Q455511	American painter, art instructor, television host, and Air Force master sergeant (1942–1995)
Q36290	American singer and actress (born 1944)
Q1585917	American journalist (1892–1951)
Q200564	British explorer and naval officer (1800–1862)
